Geneid	Chr	Start	End	Strand	Length	pDG_M-t0-1	pDG_M-t0-2	pDG7_M-t0-1	pDG7_M-t0-2	pDG-t0-1	pDG-t0-2	pDG7-t0-1	pDG7-t0-2	GIL01-t0-1	GIL01_M-t0-1
HIS92_RS01330	NZ_CP051858.1	248003	249136	+	1134	14	13	31	8	6	17	11	23	27	11
HIS92_RS01335	NZ_CP051858.1	249299	250183	+	885	11	22	21	17	26	12	12	33	16	7
HIS92_RS01340	NZ_CP051858.1	250445	251875	-	1431	56	71	30	49	45	39	28	68	86	52
HIS92_RS01345	NZ_CP051858.1	251929	252933	-	1005	12	13	37	21	14	19	6	32	35	21
HIS92_RS01350	NZ_CP051858.1	253117	253494	+	378	52	79	36	76	58	54	83	131	48	31
HIS92_RS01355	NZ_CP051858.1	253552	253767	+	216	54	50	22	60	52	36	52	79	43	29
HIS92_RS01360	NZ_CP051858.1	254080	254255	-	176	5	6	3	4	3	3	3	1	3	2
HIS92_RS01365	NZ_CP051858.1	254358	255437	-	1080	7	16	23	21	28	8	13	41	58	7
HIS92_RS01370	NZ_CP051858.1	255440	256522	-	1083	9	13	18	10	2	4	4	23	23	16
HIS92_RS01375	NZ_CP051858.1	256543	258042	-	1500	6	5	16	5	3	6	6	4	19	4
HIS92_RS01380	NZ_CP051858.1	258409	260814	-	2406	74	151	81	132	97	134	118	164	89	25
HIS92_RS01385	NZ_CP051858.1	261494	262894	-	1401	9	11	28	9	19	19	23	31	56	11
HIS92_RS01390	NZ_CP051858.1	263269	264396	-	1128	28	22	30	33	33	32	32	64	39	20
HIS92_RS01395	NZ_CP051858.1	264433	265653	-	1221	10	14	33	32	16	25	21	65	55	21
HIS92_RS01400	NZ_CP051858.1	265715	267034	-	1320	11	25	14	44	38	40	38	57	49	31
HIS92_RS01405	NZ_CP051858.1	268215	269444	-	1230	38	36	29	57	53	51	71	83	90	36
HIS92_RS01410	NZ_CP051858.1	269874	270002	+	129	87	108	31	104	98	90	136	125	46	35
HIS92_RS01415	NZ_CP051858.1	270795	270968	-	174	20	23	14	27	18	25	29	42	26	10
HIS92_RS01420	NZ_CP051858.1	271173	271814	-	642	20	30	25	38	37	55	53	55	70	32
HIS92_RS01425	NZ_CP051858.1	271980	273395	-	1416	16	25	28	32	27	55	39	68	163	61
HIS92_RS01430	NZ_CP051858.1	273529	274347	-	819	20	29	37	27	20	37	34	72	124	61
HIS92_RS01435	NZ_CP051858.1	274672	275864	-	1193	11	12	12	7	14	16	9	15	42	15
HIS92_RS01440	NZ_CP051858.1	275861	276952	-	1092	1	16	13	9	6	1	6	10	24	7
HIS92_RS01445	NZ_CP051858.1	276979	278552	-	1574	7	11	27	3	5	13	6	20	35	13
HIS92_RS01450	NZ_CP051858.1	279242	280186	-	945	54	77	49	75	79	85	99	110	126	66
HIS92_RS01455	NZ_CP051858.1	280191	281507	-	1317	40	54	47	56	62	79	84	121	106	103
HIS92_RS01460	NZ_CP051858.1	281741	282721	-	981	34	49	56	83	49	57	60	104	139	86
HIS92_RS01465	NZ_CP051858.1	282846	284270	-	1425	159	234	189	245	195	308	326	432	539	323
HIS92_RS01470	NZ_CP051858.1	285223	286374	+	1152	169	221	88	194	143	207	274	253	189	37
HIS92_RS01475	NZ_CP051858.1	286636	286896	-	261	0	0	6	4	0	2	0	4	11	1
HIS92_RS01480	NZ_CP051858.1	287237	288460	-	1224	6	8	41	25	10	11	18	36	42	15
HIS92_RS01485	NZ_CP051858.1	288890	289129	-	240	1	11	5	10	15	27	47	35	52	17
HIS92_RS01490	NZ_CP051858.1	289269	290858	-	1590	303	424	469	595	642	819	901	980	905	288
HIS92_RS01495	NZ_CP051858.1	291262	292097	-	836	7	8	24	13	12	20	12	23	66	25
HIS92_RS01500	NZ_CP051858.1	292589	293233	+	645	13	17	7	21	10	23	21	28	26	6
HIS92_RS01505	NZ_CP051858.1	293387	294031	+	645	0	5	13	3	4	1	6	10	5	7
HIS92_RS01510	NZ_CP051858.1	294028	294621	+	594	6	4	17	4	1	5	1	6	12	3
HIS92_RS01515	NZ_CP051858.1	294635	296470	+	1836	29	19	50	22	18	35	15	34	74	25
HIS92_RS01520	NZ_CP051858.1	296775	297653	-	879	35	45	22	48	41	27	44	66	51	34
HIS92_RS01525	NZ_CP051858.1	297873	298316	-	444	10	0	7	7	3	10	8	16	17	8
HIS92_RS01530	NZ_CP051858.1	298774	299724	-	951	7	14	18	21	5	9	7	25	27	12
HIS92_RS01535	NZ_CP051858.1	300030	301055	-	1026	8	14	26	9	5	13	12	24	43	9
HIS92_RS01540	NZ_CP051858.1	301091	301492	-	402	1	1	6	0	0	0	2	10	2	2
HIS92_RS01545	NZ_CP051858.1	301567	301953	-	387	3	0	1	0	1	0	0	1	4	0
HIS92_RS01550	NZ_CP051858.1	302341	303879	-	1539	30	47	56	43	31	38	55	49	68	22
HIS92_RS01555	NZ_CP051858.1	304455	304820	+	366	166	193	107	194	141	163	158	230	144	93
HIS92_RS01560	NZ_CP051858.1	304908	305618	-	711	216	322	169	317	273	310	354	430	312	166
HIS92_RS01565	NZ_CP051858.1	305722	306177	-	456	16	35	16	34	32	42	42	49	42	42
HIS92_RS01570	NZ_CP051858.1	306290	307720	-	1431	34	37	41	46	45	38	47	98	89	82
HIS92_RS01575	NZ_CP051858.1	307806	308318	-	513	7	6	8	4	11	10	7	19	11	15
HIS92_RS01580	NZ_CP051858.1	308382	310988	-	2607	32	23	50	34	83	42	27	99	83	112
HIS92_RS01585	NZ_CP051858.1	310988	312520	-	1533	16	9	57	22	25	15	11	51	63	25
HIS92_RS01590	NZ_CP051858.1	313126	313488	-	363	101	87	70	95	149	79	116	245	127	27
HIS92_RS01595	NZ_CP051858.1	313844	314686	-	843	2	12	28	7	7	6	8	23	37	3
HIS92_RS01600	NZ_CP051858.1	315082	315639	+	558	22	19	31	30	28	33	24	29	44	19
HIS92_RS01605	NZ_CP051858.1	315738	316649	-	912	358	356	318	396	395	416	585	865	1306	937
HIS92_RS01610	NZ_CP051858.1	317021	317956	-	936	4640	6218	3941	5787	3152	5863	5093	4168	1431	298
HIS92_RS01615	NZ_CP051858.1	317974	318840	-	867	2224	2908	1818	2906	1909	3470	3002	2723	928	163
HIS92_RS01620	NZ_CP051858.1	318837	319586	-	750	1058	1588	776	1324	1188	1988	1736	1646	370	68
HIS92_RS01625	NZ_CP051858.1	319955	320554	-	600	5	5	18	8	5	13	2	11	13	4
HIS92_RS01630	NZ_CP051858.1	320593	320730	-	138	1	1	8	2	1	3	2	4	15	4
HIS92_RS01635	NZ_CP051858.1	320874	321278	-	405	29	32	30	49	46	36	56	59	46	15
HIS92_RS01640	NZ_CP051858.1	321304	322344	-	1041	62	80	47	102	62	96	68	171	92	53
HIS92_RS01645	NZ_CP051858.1	322363	322800	-	438	14	25	10	28	25	33	23	64	37	20
HIS92_RS01650	NZ_CP051858.1	322861	323166	-	306	83	73	32	71	55	55	59	97	40	20
HIS92_RS01655	NZ_CP051858.1	323758	324330	-	573	6	6	23	8	7	11	5	15	15	7
HIS92_RS01660	NZ_CP051858.1	324603	325460	-	858	33	43	22	61	44	54	46	74	47	14
HIS92_RS01665	NZ_CP051858.1	325572	326798	+	1227	22	34	64	44	28	38	50	79	69	23
HIS92_RS01670	NZ_CP051858.1	326921	327829	+	909	10	17	33	19	26	27	25	53	49	27
HIS92_RS01675	NZ_CP051858.1	328029	328433	-	405	29	32	15	35	29	24	38	28	47	71
HIS92_RS01680	NZ_CP051858.1	328775	330205	+	1431	9	12	12	15	11	10	7	23	23	8
HIS92_RS01685	NZ_CP051858.1	330411	330920	-	510	11	19	18	18	11	10	11	15	22	23
HIS92_RS01690	NZ_CP051858.1	331744	332220	-	477	59	91	54	77	87	113	138	140	194	101
HIS92_RS01695	NZ_CP051858.1	332239	332673	-	435	24	26	37	27	21	45	37	46	54	60
HIS92_RS01700	NZ_CP051858.1	332670	332882	-	213	12	15	17	10	13	21	8	24	25	22
HIS92_RS01705	NZ_CP051858.1	333112	334542	+	1431	10	8	16	7	5	6	8	22	21	5
HIS92_RS01710	NZ_CP051858.1	334973	335917	-	945	24	58	21	59	62	51	76	94	115	85
HIS92_RS01715	NZ_CP051858.1	335950	336396	-	447	10	15	22	26	29	17	34	44	47	26
HIS92_RS01720	NZ_CP051858.1	336789	338645	-	1857	8	23	32	25	12	17	19	51	73	26
HIS92_RS01725	NZ_CP051858.1	338704	339270	-	567	441	337	503	436	372	345	449	506	493	150
HIS92_RS01730	NZ_CP051858.1	339646	340410	-	765	10	11	27	17	9	12	9	25	27	9
HIS92_RS01735	NZ_CP051858.1	340578	341018	+	441	54	78	54	60	104	69	69	99	61	19
HIS92_RS01740	NZ_CP051858.1	341187	342392	-	1206	7	4	31	18	4	5	5	30	41	14
HIS92_RS01745	NZ_CP051858.1	342658	344967	-	2310	188	153	115	135	137	166	134	247	269	723
HIS92_RS01750	NZ_CP051858.1	345079	345471	+	393	41	25	21	47	18	30	44	61	24	6
HIS92_RS01755	NZ_CP051858.1	345607	345930	+	324	6	7	3	9	5	4	19	16	21	4
HIS92_RS01760	NZ_CP051858.1	346239	348314	-	2076	15	36	72	35	21	54	29	81	88	34
HIS92_RS01765	NZ_CP051858.1	349329	349652	-	324	176	163	129	139	168	162	241	315	158	68
HIS92_RS01770	NZ_CP051858.1	349673	350143	-	471	25	35	13	24	28	26	27	46	30	17
HIS92_RS01775	NZ_CP051858.1	350415	351089	+	675	33	43	42	57	37	61	62	84	66	42
HIS92_RS01780	NZ_CP051858.1	351086	352459	+	1374	58	81	84	102	100	106	106	173	127	104
HIS92_RS01785	NZ_CP051858.1	352653	352868	-	216	67	59	23	53	58	71	66	89	74	85
HIS92_RS01790	NZ_CP051858.1	353216	354661	-	1446	293	354	312	450	471	576	610	772	1255	664
HIS92_RS01795	NZ_CP051858.1	355299	356183	-	885	9	10	32	25	8	19	17	34	22	20
HIS92_RS01800	NZ_CP051858.1	356543	357880	+	1338	118	142	64	81	75	94	68	112	118	76
HIS92_RS01805	NZ_CP051858.1	358239	358817	+	579	13	4	9	6	4	8	8	12	9	1
HIS92_RS01810	NZ_CP051858.1	358933	360720	+	1788	82	149	148	163	150	167	168	222	223	263
HIS92_RS01815	NZ_CP051858.1	361194	361391	-	198	0	2	4	6	1	3	2	2	8	6
HIS92_RS01820	NZ_CP051858.1	361431	362777	-	1347	12	20	27	16	6	21	12	25	31	19
HIS92_RS01825	NZ_CP051858.1	363341	365170	-	1830	49	90	54	88	82	108	99	148	139	77
HIS92_RS01830	NZ_CP051858.1	365187	365948	-	762	28	37	55	41	32	40	61	81	66	44
HIS92_RS01835	NZ_CP051858.1	366196	367272	-	1077	41	53	36	57	48	43	53	109	137	45
HIS92_RS01840	NZ_CP051858.1	367269	367955	-	687	8	15	14	34	16	34	43	44	42	17
HIS92_RS01845	NZ_CP051858.1	368147	369097	-	951	9	19	18	15	15	11	12	48	40	14
HIS92_RS01850	NZ_CP051858.1	369462	369890	-	429	58	41	49	54	58	81	82	103	126	21
HIS92_RS01855	NZ_CP051858.1	370563	372674	+	2112	284	369	186	419	324	341	318	545	538	833
HIS92_RS01860	NZ_CP051858.1	372886	376083	-	3198	16	29	63	47	21	36	23	97	115	71
HIS92_RS01865	NZ_CP051858.1	376668	378146	-	1479	29	63	54	41	56	86	51	90	91	122
HIS92_RS01870	NZ_CP051858.1	378543	379139	+	597	1	1	13	5	0	1	0	8	17	2
HIS92_RS01875	NZ_CP051858.1	379225	380220	-	996	71	83	90	106	113	112	100	174	167	191
HIS92_RS01880	NZ_CP051858.1	380491	381723	-	1233	17	22	45	32	29	37	36	86	88	20
HIS92_RS01885	NZ_CP051858.1	382026	382439	-	414	17	15	40	35	24	38	40	70	78	17
HIS92_RS01890	NZ_CP051858.1	382611	383369	-	759	18	22	43	23	25	29	17	76	64	11
HIS92_RS01895	NZ_CP051858.1	383731	384651	-	921	11	9	13	6	18	17	7	13	24	12
HIS92_RS01900	NZ_CP051858.1	384867	385448	+	582	1	2	1	6	0	5	2	1	8	0
HIS92_RS01905	NZ_CP051858.1	385599	386702	+	1104	2956	4783	2739	6010	4612	4552	5500	6167	3711	1270
HIS92_RS01910	NZ_CP051858.1	386753	387424	-	672	8	10	14	10	7	18	5	24	25	7
HIS92_RS01915	NZ_CP051858.1	387424	388488	-	1065	19	12	17	12	19	18	23	30	27	8
HIS92_RS01920	NZ_CP051858.1	388673	389296	+	624	296	402	151	375	370	456	641	644	310	45
HIS92_RS01925	NZ_CP051858.1	389365	390624	+	1260	91	81	77	69	75	107	118	147	169	38
HIS92_RS01930	NZ_CP051858.1	390758	391228	-	471	34	47	40	50	24	58	38	48	51	18
HIS92_RS01935	NZ_CP051858.1	391431	392807	-	1377	53	79	51	64	45	73	54	98	129	73
HIS92_RS01940	NZ_CP051858.1	392809	393486	-	678	10	21	16	27	14	14	14	23	34	12
HIS92_RS01945	NZ_CP051858.1	393648	394313	-	666	0	1	5	3	0	5	1	3	20	1
HIS92_RS01950	NZ_CP051858.1	394428	394880	+	453	12	12	3	7	16	19	22	27	22	11
HIS92_RS01955	NZ_CP051858.1	394906	395424	+	519	12	16	13	16	24	16	20	26	37	10
HIS92_RS01960	NZ_CP051858.1	395448	396071	+	624	25	42	16	53	34	36	48	64	47	28
HIS92_RS01965	NZ_CP051858.1	396285	397124	-	840	306	348	283	393	463	497	528	654	785	362
HIS92_RS01970	NZ_CP051858.1	397456	398097	-	642	19	11	32	39	29	23	22	52	37	6
HIS92_RS01975	NZ_CP051858.1	398580	398975	+	396	47	52	35	82	43	46	39	50	76	13
HIS92_RS01980	NZ_CP051858.1	399366	399875	-	510	77	95	35	111	87	97	111	144	51	19
HIS92_RS01985	NZ_CP051858.1	400018	401265	-	1248	365	531	195	517	396	472	520	628	455	289
HIS92_RS01990	NZ_CP051858.1	401279	402451	-	1173	40	65	37	32	31	38	44	62	120	39
HIS92_RS01995	NZ_CP051858.1	402464	403546	-	1083	50	29	27	25	28	28	26	67	85	29
HIS92_RS02000	NZ_CP051858.1	403756	403947	-	192	6	7	13	12	13	32	11	25	59	23
HIS92_RS02005	NZ_CP051858.1	404037	405104	-	1068	50	45	65	75	71	72	80	100	273	124
HIS92_RS02010	NZ_CP051858.1	405306	405545	-	240	183	186	149	186	118	113	132	129	161	47
HIS92_RS02015	NZ_CP051858.1	405839	406666	-	828	66	79	38	103	85	92	112	161	169	110
HIS92_RS02020	NZ_CP051858.1	407219	409609	-	2391	18	17	69	22	17	24	14	69	105	23
HIS92_RS02025	NZ_CP051858.1	409685	410527	-	843	2	3	18	4	1	5	4	13	12	10
HIS92_RS02030	NZ_CP051858.1	410903	412681	-	1779	112	153	118	117	229	222	252	361	325	211
HIS92_RS02035	NZ_CP051858.1	412958	413233	+	276	9	12	6	8	11	16	11	29	12	4
HIS92_RS02040	NZ_CP051858.1	413390	413971	-	582	85	80	40	89	56	48	77	112	76	68
HIS92_RS02045	NZ_CP051858.1	414194	415444	+	1251	8	20	13	2	13	16	6	23	19	11
HIS92_RS02050	NZ_CP051858.1	415589	416047	-	459	16	10	15	10	11	16	14	22	27	22
HIS92_RS02055	NZ_CP051858.1	416203	417159	-	957	8	12	36	23	7	17	5	38	57	17
HIS92_RS02060	NZ_CP051858.1	417216	417545	-	330	0	1	10	3	1	1	2	11	18	0
HIS92_RS02065	NZ_CP051858.1	417647	417985	-	339	5	6	5	7	3	5	4	18	12	5
HIS92_RS02070	NZ_CP051858.1	418113	418487	-	375	14	24	11	24	7	11	21	21	22	12
HIS92_RS02075	NZ_CP051858.1	418591	419079	-	489	30	45	53	40	60	36	47	50	37	37
HIS92_RS02080	NZ_CP051858.1	419306	420013	+	708	155	154	130	231	168	152	205	260	198	72
HIS92_RS02085	NZ_CP051858.1	420125	420451	-	327	1180	1097	518	882	541	513	426	560	384	532
HIS92_RS02090	NZ_CP051858.1	421244	421699	-	456	16	19	13	31	24	21	29	43	30	12
HIS92_RS02095	NZ_CP051858.1	421724	422122	-	399	4	4	8	13	1	9	4	9	14	2
HIS92_RS02100	NZ_CP051858.1	422337	422813	-	477	60	77	84	100	83	84	90	110	129	34
HIS92_RS02105	NZ_CP051858.1	422849	423277	-	429	18	18	34	31	12	8	18	36	40	12
HIS92_RS02110	NZ_CP051858.1	423274	424014	-	741	9	16	15	10	11	19	10	25	28	15
HIS92_RS02115	NZ_CP051858.1	424194	424907	-	714	34	46	7	50	35	24	34	62	41	28
HIS92_RS02120	NZ_CP051858.1	424927	425706	-	780	17	28	18	41	19	20	23	36	47	20
HIS92_RS02125	NZ_CP051858.1	425755	426348	-	594	6	25	53	25	12	20	20	60	75	35
HIS92_RS02130	NZ_CP051858.1	426474	427183	-	710	0	1	19	1	0	3	4	15	24	5
HIS92_RS02135	NZ_CP051858.1	427184	427363	-	180	174	167	148	227	218	201	271	333	393	106
HIS92_RS02140	NZ_CP051858.1	427713	428150	-	438	337	487	497	659	582	727	793	967	1193	322
HIS92_RS02145	NZ_CP051858.1	428156	429781	-	1626	77	139	137	158	100	174	163	254	254	87
HIS92_RS02150	NZ_CP051858.1	429815	430141	-	327	1	2	16	7	1	6	5	28	27	0
HIS92_RS02155	NZ_CP051858.1	430141	430860	-	720	4	9	14	14	5	15	12	27	34	17
HIS92_RS02160	NZ_CP051858.1	430883	431188	-	306	0	3	13	0	1	2	4	6	12	4
HIS92_RS02165	NZ_CP051858.1	431215	431637	-	423	7	9	20	5	5	10	11	25	38	7
HIS92_RS02170	NZ_CP051858.1	432239	432958	-	720	135	189	114	216	244	247	332	421	611	459
HIS92_RS02175	NZ_CP051858.1	433019	434197	-	1179	164	305	164	328	351	385	499	619	787	776
HIS92_RS02180	NZ_CP051858.1	434852	435052	-	201	105	133	88	149	158	176	190	245	174	109
HIS92_RS02185	NZ_CP051858.1	435036	436232	-	1197	109	153	163	154	134	156	158	203	260	242
HIS92_RS02190	NZ_CP051858.1	436345	436572	-	228	166	220	61	147	59	88	70	93	60	44
HIS92_RS02195	NZ_CP051858.1	436634	437536	-	903	452	771	181	472	205	295	213	331	231	225
HIS92_RS02200	NZ_CP051858.1	437726	438142	+	417	207	191	96	116	189	248	206	278	202	188
HIS92_RS02205	NZ_CP051858.1	438158	439357	+	1200	278	326	156	250	396	449	409	661	562	372
HIS92_RS02210	NZ_CP051858.1	439458	440717	+	1260	261	362	340	333	291	500	398	441	380	137
HIS92_RS02215	NZ_CP051858.1	441456	442823	-	1368	12	17	51	28	12	21	14	43	78	33
HIS92_RS02220	NZ_CP051858.1	442947	443051	+	105	0	0	0	4	0	1	0	5	5	1
HIS92_RS02225	NZ_CP051858.1	443114	443467	-	354	0	3	6	3	8	11	7	11	20	15
HIS92_RS02230	NZ_CP051858.1	443464	444039	-	576	5	4	12	4	8	4	5	20	19	15
HIS92_RS02235	NZ_CP051858.1	444063	444452	-	390	7	7	17	7	4	2	4	16	24	13
HIS92_RS02240	NZ_CP051858.1	444716	444973	-	258	14	15	18	14	16	28	32	27	28	12
HIS92_RS02245	NZ_CP051858.1	445304	445495	+	192	14	6	5	11	9	23	11	17	9	4
HIS92_RS02250	NZ_CP051858.1	445526	446248	-	723	503	762	400	778	623	882	920	866	799	136
HIS92_RS02255	NZ_CP051858.1	446431	447132	-	702	25	18	27	20	28	31	22	49	80	119
HIS92_RS02260	NZ_CP051858.1	447105	448766	-	1662	31	57	66	54	48	56	63	119	172	198
HIS92_RS02265	NZ_CP051858.1	448739	449617	-	879	4	14	37	14	13	17	18	48	65	61
HIS92_RS02270	NZ_CP051858.1	449640	450458	-	819	54	63	85	78	101	152	114	191	239	215
HIS92_RS02275	NZ_CP051858.1	450516	452402	-	1887	586	755	538	824	1359	1442	1777	2096	3042	1268
HIS92_RS02280	NZ_CP051858.1	452742	453221	-	480	10	15	25	13	10	25	23	22	22	14
HIS92_RS02285	NZ_CP051858.1	453421	454851	+	1431	8	5	20	5	1	2	11	22	30	9
HIS92_RS02290	NZ_CP051858.1	454998	455825	-	828	82	113	63	167	111	136	173	182	77	16
HIS92_RS02295	NZ_CP051858.1	456325	456681	-	357	1	4	17	3	2	0	3	17	19	0
HIS92_RS02300	NZ_CP051858.1	456892	457770	-	879	11	10	26	13	12	14	13	21	39	3
HIS92_RS02305	NZ_CP051858.1	458295	458771	-	477	367	507	240	479	306	402	398	455	195	36
HIS92_RS02310	NZ_CP051858.1	459112	460389	+	1278	7	12	12	28	15	22	16	41	23	6
HIS92_RS02315	NZ_CP051858.1	460552	460863	+	312	5	1	1	2	1	1	2	0	1	1
HIS92_RS02320	NZ_CP051858.1	461086	461685	+	600	5	5	9	5	4	5	10	6	12	3
HIS92_RS02325	NZ_CP051858.1	461847	462227	-	381	49	60	20	44	45	50	57	59	49	17
HIS92_RS02330	NZ_CP051858.1	462356	463039	+	684	208	335	295	459	379	371	369	481	401	98
HIS92_RS02335	NZ_CP051858.1	463195	463476	+	282	151	219	223	291	246	254	258	325	294	81
HIS92_RS02340	NZ_CP051858.1	463527	464585	-	1059	4	12	24	17	11	14	13	28	28	9
HIS92_RS02345	NZ_CP051858.1	464868	465344	+	477	8	7	7	6	9	8	7	12	14	9
HIS92_RS02350	NZ_CP051858.1	465416	466354	+	939	5	11	7	17	1	4	2	14	8	2
HIS92_RS02355	NZ_CP051858.1	466417	467139	-	723	8	12	34	15	6	17	11	24	38	9
HIS92_RS02360	NZ_CP051858.1	467477	468235	-	759	22	33	48	36	30	46	42	70	106	42
HIS92_RS02365	NZ_CP051858.1	468293	469951	-	1659	109	186	162	143	198	319	275	314	462	248
HIS92_RS02370	NZ_CP051858.1	469944	470669	-	726	30	36	40	26	38	69	46	99	100	62
HIS92_RS02375	NZ_CP051858.1	470758	470952	-	195	2	4	13	2	2	3	2	9	20	3
HIS92_RS02380	NZ_CP051858.1	471132	471491	+	360	17	22	10	17	29	35	27	48	41	23
HIS92_RS02385	NZ_CP051858.1	471479	471682	+	204	12	7	3	8	17	22	23	33	17	7
HIS92_RS02390	NZ_CP051858.1	471730	472695	-	966	262	447	154	479	315	312	390	578	299	182
HIS92_RS02395	NZ_CP051858.1	472925	473635	-	711	311	439	239	576	438	436	524	588	359	159
HIS92_RS02400	NZ_CP051858.1	473723	474745	-	1023	247	318	139	431	297	337	389	493	506	132
HIS92_RS02405	NZ_CP051858.1	475011	475733	-	723	12	27	32	28	23	26	30	47	47	15
HIS92_RS02410	NZ_CP051858.1	475857	476696	+	840	11	31	18	48	28	27	30	27	55	30
HIS92_RS02415	NZ_CP051858.1	476714	477163	+	450	18	18	19	25	10	14	14	24	23	8
HIS92_RS02420	NZ_CP051858.1	477256	477510	-	255	7	4	6	5	8	8	11	28	24	6
HIS92_RS02425	NZ_CP051858.1	477601	477981	-	381	2	7	11	10	11	9	5	22	24	15
HIS92_RS02430	NZ_CP051858.1	478043	479071	-	1029	14	12	20	14	11	15	11	44	28	21
HIS92_RS02435	NZ_CP051858.1	479194	480387	-	1194	2	9	28	12	2	5	13	26	28	18
HIS92_RS02440	NZ_CP051858.1	480444	481007	-	564	6	3	17	10	5	3	10	16	22	10
HIS92_RS02445	NZ_CP051858.1	481381	483870	-	2490	117	174	133	197	151	198	207	226	225	123
HIS92_RS02450	NZ_CP051858.1	483867	484625	-	759	16	45	35	60	44	53	37	77	54	23
HIS92_RS02455	NZ_CP051858.1	484618	484767	-	150	0	1	6	1	2	2	0	3	14	0
HIS92_RS02460	NZ_CP051858.1	484823	485869	-	1047	6	14	35	27	14	15	12	40	48	15
HIS92_RS02465	NZ_CP051858.1	486219	487376	+	1158	38	30	29	50	63	63	40	66	123	187
HIS92_RS02470	NZ_CP051858.1	487405	488526	-	1122	413	518	285	502	460	616	577	820	804	263
HIS92_RS02475	NZ_CP051858.1	488590	488838	-	249	308	207	125	204	183	208	272	355	179	64
HIS92_RS02480	NZ_CP051858.1	489048	489509	+	462	21	21	9	12	17	12	10	22	16	15
HIS92_RS02485	NZ_CP051858.1	489789	489932	+	144	620	630	531	643	289	344	506	583	394	120
HIS92_RS02490	NZ_CP051858.1	490146	491897	-	1752	4	14	58	31	9	23	4	71	104	16
HIS92_RS02495	NZ_CP051858.1	492032	492493	-	462	8	7	7	14	4	5	3	13	20	4
HIS92_RS02500	NZ_CP051858.1	492527	492796	-	270	6	12	54	18	3	13	8	46	56	6
HIS92_RS02505	NZ_CP051858.1	492835	493377	-	543	5	1	19	4	2	5	5	13	21	1
HIS92_RS02510	NZ_CP051858.1	493490	494686	+	1197	8	9	17	21	10	14	14	27	18	5
HIS92_RS02515	NZ_CP051858.1	494769	495683	-	915	32	54	31	61	47	73	55	89	107	37
HIS92_RS02520	NZ_CP051858.1	495981	496361	+	381	2	2	2	1	0	2	0	1	4	0
HIS92_RS02525	NZ_CP051858.1	496438	496665	+	228	2	1	6	0	1	1	0	7	9	1
HIS92_RS02530	NZ_CP051858.1	496761	497309	-	549	275	343	310	351	389	528	517	706	602	221
HIS92_RS02535	NZ_CP051858.1	497510	497929	-	420	43	60	53	71	27	29	64	89	145	91
HIS92_RS02540	NZ_CP051858.1	497982	499310	-	1329	2216	2292	2509	3212	2069	1789	3310	4380	5730	1973
HIS92_RS02545	NZ_CP051858.1	499430	499837	-	408	267	314	245	424	253	245	455	553	624	199
HIS92_RS02550	NZ_CP051858.1	500300	501184	+	885	88	174	90	203	167	190	216	294	229	48
HIS92_RS02555	NZ_CP051858.1	501202	501453	-	252	29	45	47	39	33	36	41	51	57	18
HIS92_RS02560	NZ_CP051858.1	501545	501889	-	345	15	18	41	17	11	4	15	39	38	21
HIS92_RS02565	NZ_CP051858.1	501909	502730	-	822	15	18	32	22	17	18	15	33	41	38
HIS92_RS02570	NZ_CP051858.1	502926	503102	+	177	6	11	6	3	4	4	3	11	3	0
HIS92_RS02575	NZ_CP051858.1	503169	504230	-	1062	89	128	77	140	101	129	136	161	114	58
HIS92_RS02580	NZ_CP051858.1	504357	505880	-	1524	21	22	38	30	16	18	18	48	70	33
HIS92_RS02585	NZ_CP051858.1	506208	506876	-	669	20	21	17	16	13	14	11	25	22	31
HIS92_RS02590	NZ_CP051858.1	506986	507879	-	894	11	12	33	13	8	20	8	24	29	22
HIS92_RS02595	NZ_CP051858.1	507992	509986	-	1995	21	32	31	20	13	17	8	44	59	33
HIS92_RS02600	NZ_CP051858.1	510026	511510	-	1485	19	7	38	19	11	13	16	46	45	16
HIS92_RS02605	NZ_CP051858.1	511933	512448	-	516	3	12	29	20	15	16	10	31	35	13
HIS92_RS02610	NZ_CP051858.1	512946	513317	-	372	13	14	22	13	19	26	15	36	10	7
HIS92_RS02615	NZ_CP051858.1	513808	513933	+	126	0	1	0	0	0	3	0	0	0	0
HIS92_RS02620	NZ_CP051858.1	514099	515418	-	1320	4204	6635	3924	9151	9636	11539	11630	11547	7931	4413
HIS92_RS02625	NZ_CP051858.1	516378	517067	-	690	194	235	277	289	201	215	226	334	172	38
HIS92_RS02630	NZ_CP051858.1	517140	517472	-	333	68	68	99	87	76	72	65	84	41	8
HIS92_RS02635	NZ_CP051858.1	517601	518014	-	414	76	114	26	89	86	88	87	127	57	20
HIS92_RS02640	NZ_CP051858.1	518204	518338	-	135	30	31	16	27	20	26	22	54	25	4
HIS92_RS02645	NZ_CP051858.1	518386	518781	-	396	87	82	25	66	71	56	71	96	28	19
HIS92_RS02650	NZ_CP051858.1	519403	519747	+	345	66	76	29	100	61	77	85	96	57	11
HIS92_RS02655	NZ_CP051858.1	519824	520561	-	738	52	58	38	34	69	70	39	80	71	66
HIS92_RS02660	NZ_CP051858.1	520594	521655	-	1062	70	71	72	63	77	77	61	107	95	80
HIS92_RS02665	NZ_CP051858.1	521888	522304	+	417	4	9	6	2	4	3	5	15	3	1
HIS92_RS02670	NZ_CP051858.1	522465	523841	-	1377	26	27	49	37	16	30	20	53	87	15
